Entity,Code,Year,Oil Production - TWh
Romania,ROU,2010,49.85781
Romania,ROU,2011,49.10186000000001
Romania,ROU,2012,46.310660000000006
Romania,ROU,2013,48.04353
Romania,ROU,2014,47.12476
Romania,ROU,2015,46.55489000000001
Romania,ROU,2016,44.21726
Romania,ROU,2017,42.26342
Romania,ROU,2018,41.60051
Romania,ROU,2019,41.48421
Romania,ROU,2020,40.21654
Russia,RUS,1965,2824.78744
Russia,RUS,1966,3083.1130000000003
Russia,RUS,1967,3350.6030000000005
Russia,RUS,1968,3595.996
Russia,RUS,1969,3818.129
Russia,RUS,1970,4105.84357
Russia,RUS,1971,4384.51
Russia,RUS,1972,4656.652
Russia,RUS,1973,4989.27
Russia,RUS,1974,5337.0070000000005
Russia,RUS,1975,5708.01563
Russia,RUS,1976,6043.843510000001
Russia,RUS,1977,6347.6423700000005
Russia,RUS,1978,6646.90553
Russia,RUS,1979,6810.528000000001
Russia,RUS,1980,7014.9834
Russia,RUS,1981,7080.576600000001
Russia,RUS,1982,7123.968130000001
Russia,RUS,1983,7168.06909
Russia,RUS,1984,7125.817300000001
Russia,RUS,1985,6307.018780000001
Russia,RUS,1986,6526.546660000001
Russia,RUS,1987,6623.0640300000005
Russia,RUS,1988,6614.89977
Russia,RUS,1989,6422.38838
Russia,RUS,1990,5999.81233
Russia,RUS,1991,5372.40872
Russia,RUS,1992,4638.1603000000005
Russia,RUS,1993,4127.19625
Russia,RUS,1994,3693.43214
Russia,RUS,1995,3614.010870000001
Russia,RUS,1996,3522.4129900000003
Russia,RUS,1997,3575.2946000000006
Russia,RUS,1998,3539.4742
Russia,RUS,1999,3544.45184
Russia,RUS,2000,3798.946774565
Russia,RUS,2001,4090.033536334
Russia,RUS,2002,4462.377164730001
Russia,RUS,2003,4951.05130792
Russia,RUS,2004,5388.073399600001
Russia,RUS,2005,5522.1501453500005
Russia,RUS,2006,5655.13684609
Russia,RUS,2007,5783.959031073
Russia,RUS,2008,5748.176509983001
Russia,RUS,2009,5830.849919914001
Russia,RUS,2010,5958.230736195001
Russia,RUS,2011,6041.362348355
Russia,RUS,2012,6125.935557165001
Russia,RUS,2013,6189.760291224001
Russia,RUS,2014,6250.201425647
Russia,RUS,2015,6333.143997972
Russia,RUS,2016,6495.111686444001
Russia,RUS,2017,6495.898084947001
Russia,RUS,2018,6604.501252092001
Russia,RUS,2019,6668.512266187
Russia,RUS,2020,6098.8210471990005
Saudi Arabia,SAU,1965,1291.211164554
Saudi Arabia,SAU,1966,1523.1673614810002
Saudi Arabia,SAU,1967,1643.168832277
Saudi Arabia,SAU,1968,1793.6105510990003
Saudi Arabia,SAU,1969,1892.792884427
Saudi Arabia,SAU,1970,2234.954513599
Saudi Arabia,SAU,1971,2800.442494745
Saudi Arabia,SAU,1972,3538.223655175
Saudi Arabia,SAU,1973,4466.089737524
Saudi Arabia,SAU,1974,4996.795952102
Saudi Arabia,SAU,1975,4179.089134387001
Saudi Arabia,SAU,1976,5085.340803586
Saudi Arabia,SAU,1977,5447.445791684
Saudi Arabia,SAU,1978,4936.230777914
Saudi Arabia,SAU,1979,5675.566372743
Saudi Arabia,SAU,1980,5929.012499952
Saudi Arabia,SAU,1981,5888.818548901
Saudi Arabia,SAU,1982,3956.342680962
Saudi Arabia,SAU,1983,2794.450322162
Saudi Arabia,SAU,1984,2547.3986794740003
Saudi Arabia,SAU,1985,2001.202094573
Saudi Arabia,SAU,1986,2937.739390948
Saudi Arabia,SAU,1987,2484.26256353
Saudi Arabia,SAU,1988,3178.578802845
Saudi Arabia,SAU,1989,3153.742227252
Saudi Arabia,SAU,1990,3984.945871633001
Saudi Arabia,SAU,1991,4981.661749366001
Saudi Arabia,SAU,1992,5141.365076838
Saudi Arabia,SAU,1993,4992.88261527
Saudi Arabia,SAU,1994,5026.32137735
Saudi Arabia,SAU,1995,5015.587162981001
Saudi Arabia,SAU,1996,5087.378050457
Saudi Arabia,SAU,1997,5024.415885586
Saudi Arabia,SAU,1998,5178.776994655001
Saudi Arabia,SAU,1999,4751.1568275750005
Saudi Arabia,SAU,2000,5099.945499400001
Saudi Arabia,SAU,2001,4974.114228266
Saudi Arabia,SAU,2002,4536.31749485
Saudi Arabia,SAU,2003,5355.612065751
Saudi Arabia,SAU,2004,5731.116622314001
Saudi Arabia,SAU,2005,6008.385683391001
Saudi Arabia,SAU,2006,5918.978513927001
Saudi Arabia,SAU,2007,5686.3700984590005
Saudi Arabia,SAU,2008,5930.999322632
Saudi Arabia,SAU,2009,5338.25435239
Saudi Arabia,SAU,2010,5388.1867781440005
Saudi Arabia,SAU,2011,6079.006828956
Saudi Arabia,SAU,2012,6387.493103469001
Saudi Arabia,SAU,2013,6261.744230885
Saudi Arabia,SAU,2014,6324.668194694999
Saudi Arabia,SAU,2015,6606.237480836001
Saudi Arabia,SAU,2016,6823.462992996
Saudi Arabia,SAU,2017,6504.884473136001
Saudi Arabia,SAU,2018,6708.389306716001
Saudi Arabia,SAU,2019,6472.839433974001
Saudi Arabia,SAU,2020,6042.749151423
South & Central America,,1965,2631.6230034030004
South & Central America,,1966,2603.855085147
South & Central America,,1967,2771.291410122
South & Central America,,1968,2845.3819521590003
South & Central America,,1969,2851.05935414
South & Central America,,1970,2927.9376513710004
South & Central America,,1971,2859.559582743
South & Central America,,1972,2724.580736272
South & Central America,,1973,2899.494680232
South & Central America,,1974,2640.825424657
South & Central America,,1975,2230.0787965930003
South & Central America,,1976,2213.988963735
South & Central America,,1977,2195.105122232
South & Central America,,1978,2199.044011337
South & Central America,,1979,2354.5407212890004
South & Central America,,1980,2264.7192842470004
South & Central America,,1981,2243.89798011
South & Central America,,1982,2149.187510875
South & Central America,,1983,2130.524550984
South & Central America,,1984,2246.714209033
South & Central America,,1985,2240.404946826
South & Central America,,1986,2401.543661691
South & Central America,,1987,2367.775782241
South & Central America,,1988,2488.743643235
South & Central America,,1989,2516.527070096
South & Central America,,1990,2721.154210306
South & Central America,,1991,2868.785993198
South & Central America,,1992,2933.012089024
South & Central America,,1993,3046.010255266
South & Central America,,1994,3229.278929551
South & Central America,,1995,3489.7198783920003
South & Central America,,1996,3730.567732506001
South & Central America,,1997,3888.8875074950006
South & Central America,,1998,4116.049164816
South & Central America,,1999,3984.870001002
South & Central America,,2000,4010.469110338
South & Central America,,2001,4060.4660011820006
South & Central America,,2002,4024.266579482001
South & Central America,,2003,3991.567731958
South & Central America,,2004,4274.109455897001
South & Central America,,2005,4358.178623996
South & Central America,,2006,4442.071515022
South & Central America,,2007,4355.218934371001
South & Central America,,2008,4425.581811363
South & Central America,,2009,4391.353450204
South & Central America,,2010,4403.75496347
South & Central America,,2011,4438.728790184
South & Central America,,2012,4402.586027518
South & Central America,,2013,4409.362970404
South & Central America,,2014,4571.9330149550005
South & Central America,,2015,4633.161624819
South & Central America,,2016,4409.310793572
South & Central America,,2017,4272.346823564
South & Central America,,2018,3871.4417434040006
South & Central America,,2019,3702.346305889
South & Central America,,2020,3492.391895315
South Sudan,SSD,1999,0
South Sudan,SSD,2012,17.831106579700002
South Sudan,SSD,2013,57.131412896620006
South Sudan,SSD,2014,88.99592097585
South Sudan,SSD,2015,84.63416404741001
South Sudan,SSD,2016,78.52080382898001
South Sudan,SSD,2017,84.32641868647
South Sudan,SSD,2018,82.66252432078001
South Sudan,SSD,2019,98.25598437101
South Sudan,SSD,2020,97.37337472754
Sudan,SDN,1993,1.1457354976
Sudan,SDN,1994,1.1457354976
Sudan,SDN,1995,1.1457354976
Sudan,SDN,1996,2.8721862376900003
Sudan,SDN,1997,5.15580971594
Sudan,SDN,1998,6.874412950710001
Sudan,SDN,1999,36.09066801158
Sudan,SDN,2000,102.90003798743
Sudan,SDN,2001,119.7340109177
Sudan,SDN,2002,135.30247669070002
Sudan,SDN,2003,150.16600280670002
Sudan,SDN,2004,167.2400902405
Sudan,SDN,2005,168.24003717530002
Sudan,SDN,2006,204.0330639932
Sudan,SDN,2007,276.7613794782
Sudan,SDN,2008,262.48993805780003
Sudan,SDN,2009,272.2338927005
Sudan,SDN,2010,264.7055127197
Sudan,SDN,2011,166.7058152511
Sudan,SDN,2012,59.228788437670005
Sudan,SDN,2013,67.51441165121
Sudan,SDN,2014,68.5175603599
Sudan,SDN,2015,62.47819160870001
Sudan,SDN,2016,59.5195007681
Sudan,SDN,2017,54.20219667445001
Sudan,SDN,2018,57.44259789984
Sudan,SDN,2019,55.86966420645
Sudan,SDN,2020,49.19166124271
Syria,SYR,1968,12.19484038553
Syria,SYR,1969,30.69336289243
Syria,SYR,1970,49.22520463990001
Syria,SYR,1971,61.386725784860005
Syria,SYR,1972,67.942682133
Syria,SYR,1973,64.28232606190001
Syria,SYR,1974,74.70648703831
Syria,SYR,1975,111.19105047319
